"Advanced Reports","Advanced Reports"
"Advanced Reports by aheadWorks","Advanced Reports by aheadWorks"
"Apply","Apply"
"Avg. Order Amount","Avg. Order Amount"
"Avg. Item Final Price","Avg. Item Final Price"
"Cancel","Cancel"
"CSV","CSV"
"Coupon Code","Coupon Code"
"Date Range","Date Range"
"Day","Day"
"Discounts","Discounts"
"Excel XML","Excel XML"
"Export","Export"
"From","From"
"General Settings","General Settings"
"Invoiced","Invoiced"
"Items Ordered","Items Ordered"
"Items Sold","Items Sold"
"Manufacturer","Manufacturer"
"Month","Month"
"Number of Orders","Number of Orders"
"Order Statuses","Order Statuses"
"Payment Method (Code)","Payment Method (Code)"
"Period","Period"
"Product Name","Product Name"
"Quarter","Quarter"
"Refunded","Refunded"
"Reports","Reports"
"Readme","Readme"
"Sales Overview","Sales Overview"
"Sales Overview (%1)","Sales Overview (%1)"
"Product Performance","Product Performance"
"Product Performance (%1)","Product Performance (%1)"
"Product Variation Performance","Product Variation Performance"
"Product Variation Performance (%1)","Product Variation Performance (%1)"
"Sales by Category","Sales by Category"
"Sales by Coupon Code","Sales by Coupon Code"
"Sales by Manufacturer","Sales by Manufacturer"
"Sales by Payment Type","Sales by Payment Type"
"Sales Detailed","Sales Detailed"
"Settings","Settings"
"Shipping","Shipping"
"Sku","Sku"
"Subtotal","Subtotal"
"Tax","Tax"
"To","To"
"Total","Total"
"Week","Week"
"Year","Year"
"Key %1 doesn't exist in map","Key %1 doesn't exist in map"
"%1 doesn't extends \Aheadworks\AdvancedReports\Model\ResourceModel\Indexer\Statistics\AbstractResource","%1 doesn't extends \Aheadworks\AdvancedReports\Model\ResourceModel\Indexer\Statistics\AbstractResource"
"The latest Advanced Reports index was updated on %1","The latest Advanced Reports index was updated on %1"
"Top 10 Products","Top 10 Products"
"from","from"
"to","to"
"Today","Today"
"Yesterday","Yesterday"
"Last 7 days","Last 7 days"
"Last week","Last week"
"Last business week","Last business week"
"This month","This month"
"Last month","Last month"
"Custom date range","Custom date range"
"Report Settings","Report Settings"
"Include Refunded Items","Include Refunded Items"
"Order #","Order #"
"Order Status","Order Status"
"Order Date","Order Date"
"SKU","SKU"
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Customer Group","Customer Group"
"Country","Country"
"Region","Region"
"City","City"
"Zip Code","Zip Code"
"Address","Address"
"Phone","Phone"
"Qty. Ordered","Qty. Ordered"
"Qty. Invoiced","Qty. Invoiced"
"Qty. Shipped","Qty. Shipped"
"Qty. Refunded","Qty. Refunded"
"Item Price","Item Price"
"Item Cost","Item Cost"
"Total incl. Tax","Total incl. Tax"
"Tax Invoiced","Tax Invoiced"
"Invoiced incl. Tax","Invoiced incl. Tax"
"Tax Refunded","Tax Refunded"
"Refunded incl. Tax","Refunded incl. Tax"
