Cancel,Cancel
Save,Save
Back,Back
"Continue Set Product Price","Continue Set Product Price"
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
"Flush Cache","Flush Cache"
Re-Index,Re-Index
"Save and Continue Edit","Save and Continue Edit"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
Conditions,Conditions
"Up Coming","Up Coming"
"Opens In","Opens In"
"Sale Ends In","Sale Ends In"
Closed,Closed
"Something went wrong! Please check the log.","Something went wrong! Please check the log."
"You deleted the discount amount.","You deleted the discount amount."
"We can't delete the discount amount right now.","We can't delete the discount amount right now."
"You deleted the quantity limit.","You deleted the quantity limit."
"We can't delete the quantity limit right now.","We can't delete the quantity limit right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been save.","A total of %1 record(s) have been save."
"There is no such discount amount & qty limit entity to update.","There is no such discount amount & qty limit entity to update."
"We can't mass update the discount amount & qty limit right now.","We can't mass update the discount amount & qty limit right now."
"You saved discount amount the product.","You saved discount amount the product."
"This product no longer exists.","This product no longer exists."
"Something went wrong while saving the product.","Something went wrong while saving the product."
Lof,Lof
"Flash Sales","Flash Sales"
"You deleted the Flashsales.","You deleted the Flashsales."
"We can't find a Flashsales to delete.","We can't find a Flashsales to delete."
"This Flashsales no longer exists.","This Flashsales no longer exists."
"Edit Flash Sale","Edit Flash Sale"
"New Flash Sale","New Flash Sale"
"Flash Sale","Flash Sale"
%1,%1
"Cache has been cleaned.","Cache has been cleaned."
"We can't find a flash sales to clean cache.","We can't find a flash sales to clean cache."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"The Flash Sale has been re-indexed.","The Flash Sale has been re-indexed."
"There was a problem with reindexing process.","There was a problem with reindexing process."
"Something went wrong.","Something went wrong."
"This flash sale no longer exists.","This flash sale no longer exists."
"You saved the flash sale.","You saved the flash sale."
"Something went wrong while saving the flash sale.","Something went wrong while saving the flash sale."
"Another event has been assigned with category %1","Another event has been assigned with category %1"
"Template 1","Template 1"
"Template 2","Template 2"
"Template 3","Template 3"
"Template 4","Template 4"
"This no image longer exists","This no image longer exists"
Disabled,Disabled
"Count Down (Day & Hours)","Count Down (Day & Hours)"
"Count Down (Day/Hours/Minutes/Seconds)","Count Down (Day/Hours/Minutes/Seconds)"
"Hide button Add to cart","Hide button Add to cart"
"Custom Add to Cart Button","Custom Add to Cart Button"
"Hide Product","Hide Product"
"Show Product and Redirect to Landing Page","Show Product and Redirect to Landing Page"
"1 Event Column","1 Event Column"
"2 Event Column","2 Event Column"
"3 Event Column","3 Event Column"
"Yes, for Everyone","Yes, for Everyone"
"Yes, for Specified Customer Groups","Yes, for Specified Customer Groups"
No,No
"No, Redirect to Landing Page","No, Redirect to Landing Page"
Upcoming,Upcoming
"Coming Soon","Coming Soon"
Active,Active
"Ending Soon","Ending Soon"
Ended,Ended
1,1
2,2
3,3
ID,ID
Name,Name
Decreasing,Decreasing
Ascending,Ascending
"Could not save the appliedProducts: %1","Could not save the appliedProducts: %1"
"AppliedProducts with id ""%1"" does not exist.","AppliedProducts with id ""%1"" does not exist."
"Could not delete the AppliedProducts: %1","Could not delete the AppliedProducts: %1"
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
Enabled,Enabled
"Private Sales","Private Sales"
"Something went wrong while getting the image url.","Something went wrong while getting the image url."
"Could not save the flashSales: %1","Could not save the flashSales: %1"
"FlashSales with id ""%1"" does not exist.","FlashSales with id ""%1"" does not exist."
"Could not delete the FlashSales: %1","Could not delete the FlashSales: %1"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File validation failed.","File validation failed."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Lof Flash Sales indexing failed. See details in exception log.","Lof Flash Sales indexing failed. See details in exception log."
