Dashboard,Dashboard
User,User
"Manage Data User","Manage Data User"
"Send messenger","Send messenger"
"Login with Facebook","Login with Facebook"
Hi!,Hi!
"no email","no email"
"Magenest Chatbox Manager","Magenest Chatbox Manager"
"Facebook Support Live Configuration","Facebook Support Live Configuration"
"Facebook Support Live Settings","Facebook Support Live Settings"
"Enable FacebookSupportLive","Enable FacebookSupportLive"
"Page Facebook","Page Facebook"
"Facebook AppID","Facebook AppID"
"Title Tab Open","Title Tab Open"
"Title Tab Close","Title Tab Close"
"Tab Color","Tab Color"
"Text Color","Text Color"
Shadow,Shadow
"Avatar Image Width","Avatar Image Width"
"Avatar Image Height","Avatar Image Height"
"Chatbox Width","Chatbox Width"
"Chatbox Height","Chatbox Height"
"Facebook Support Live","Facebook Support Live"
"Chatbox Support","Chatbox Support"
Template,Template
"Facebook Support","Facebook Support"
ID,ID
Name,Name
Email,Email
Birthday,Birthday
Location,Location
"Link Facebook","Link Facebook"
Age,Age
