"Select your Travel Mode","Select your Travel Mode"
"Find a Store Near You","FIND A STORE NEAR YOU"
"Select a radius","Select a radius"
"Enter street address, city or state","Enter street address, city or state"
"Store details","STORE DETAILS"
"Store Hours","STORE HOURS"
"Start","Start"
"Get direction","Get direction"
"Reset","Reset"
"View store","View store"
"From here","From here"
"Street View","Street View"
"To here","To here"
"View location","View location"
"View on Google Maps","View on Google Maps"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"Special Date","Special Date"
"ABOUT","ABOUT"
"Unknown address","Unknown address"
"Address","Address"
"Hours","Hours"
