"Local Debit Card (ATM bank card)","Thẻ nội địa(Thẻ ngân hàng ATM)"
"International Credit/Debit Card","Thẻ tín dụng / thẻ ghi nợ quốc tế"
"E-Wallet","Ví điện tử"
"Payment Method","Phương thức thanh toán"
"Pending-Paid","Đã thanh toán - Chờ xử lý"
"QR code had been expired","Mã QR đã hết hạn"
"Please not refresh the page before finish transaction. ","Vui lòng không tải lại trang trong quá trình giao dịch. "
"The Session had been expired in ","Mã QR sẽ hết hạn sau "
"Cart is empty","Giỏ hàng đang trống"
"Go To Checkout","Đến trang thanh toán"
"Terms","Kỳ Hạn"
"Installment conversion fee","Phí chuyển đổi trả góp"
"Initial amount","Số tiên thanh toán ban đầu"
"Total amount","Tổng giá trị thanh toán phải trả"
"Amount to be paid first by terms","Số tiền cần thanh toán đầu tiên theo kỳ hạn"
"Amount to be paid for the following months according to the terms","Số tiền cần thanh toán của các tháng tiếp theo theo kỳ hạn"
"Installment Payment Information","Thông tin thanh toán trả góp"
"Installment Payment","Thanh toán trả góp"
"Fully Installment","Trả góp toàn bộ"
"Your installment actions is invalid. Please add the product and try again", "Thao tác trả góp không hợp lệ. Vui lòng thêm sản phẩm vào giỏ hàng và thử lại"
