"Redeem Reward Points","Redeem Reward Points"
"Reward Program(s)", "Reward Program(s)"
"You have","You have"
"points.","points"
"You can apply maximum","You can apply maximum"
"points for this order.","points for this order."
"point(s) can be redeemed for 1","point(s) can be redeemed for 1"
"Every","Every"
"point(s)","point(s)"
"can be redeemed for","can be redeemed for"
"Enter point quantity","Enter point quantity"
"Discount %","Discount %"
"Add Rule","Add Rule"
"Sharing","Sharing"
"Benefits","Benefits"
"Requirements","Requirements"
"How can you earn more points","How can you earn more points"
"Rule","Rule"
"Earn","Earn"
"My Reward Points","My Reward Points"
"View more","View more"
"%1 Item(s)","%1 Item(s)"
"No Transaction Found","No Transaction Found"
"Transaction Id","Transaction Id"
"Rule ID","Rule ID"
"Points Change","Points Change"
"Points After","Points After"
"Insertion Date","Insertion Date"
"Comment","Comment"
"My Referral","My Referral"
"Add Point","Add Point"
"Save Rule","Save Rule"
"Save and Continue Edit","Save and Continue Edit"
"Delete Rule","Delete Rule"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Set appropriate point action","Set appropriate point action"
"Number of points (X)","Number of points (X)"
"Default number of points (Y) for the referred","Default number of points (Y) for the referred"
"Actions","Actions"
"Product Restriction (don't add conditions if rule is applied to all products)","Product Restriction (don't add conditions if rule is applied to all products)"
"Customer writes a product review","Customer writes a product review"
"Customer signs up in store","Customer signs up in store"
"Customer subscribes to newsletter","Customer subscribes to newsletter"
"Customer birthday","Customer birthday"
"First Purchase","First Purchase"
"Lifetime Amount","Lifetime Amount"
"Customer Gratitude","Customer Gratitude"
"Refer A Friend","Refer A Friend"
"Minimum Amount","Minimum Amount"
"Customer Number","Customer Number"
